URL,Precio,Referencia,Zona,Disposición,M² edificados,M² del terreno,Dormitorios,Plantas,Barrio Privado,Acepta permuta,Tipo de Propiedad,Estado,Baños,M² de terraza,Año de Construcción,Garajes,Sobre,Cuota inicial,Vivienda Social
https://www.infocasas.com.pe/vendo-departamento-4d-san-isidro/192134308,U$S 358.000,KCC83B,San Isidro,No aplica,180 m2,,4,1,,,Departamento,Excelente estado,3,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-3dorm-urbchama-surco-entrega-15-de-agosto-2025/192027129,U$S 215.000,CCB188,Santiago De Surco,No aplica,113 m2,,3,1,,,Departamento,A estrenar,2,,2025,1,No aplica,,
https://www.infocasas.com.pe/vendo-flat-surco-piso-2-3d-10381m2-vista-a-calle-entrega-15-de-agosto-2025/192028494,U$S 185.000,A526FA,Santiago De Surco,No aplica,103 m2,,3,1,,,Departamento,A estrenar,3,,2025,1,No aplica,,
https://www.infocasas.com.pe/vendo-flat-2dorm-urbchama-surco-entrega-15-de-agosto-2025/192028412,U$S 148.000,C541F9,Santiago De Surco,No aplica,75 m2,,2,1,,,Departamento,A estrenar,3,,2025,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-66m2-en-urb-oyague-y-magdalena-89000/192014670,U$S 89.000,GCC434,Magdalena Del Mar,No aplica,66 m2,,3,1,,,Departamento,Excelente estado,1,,2010,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-magdalena-limite-san-isidro-buen-estado-impecable/191896070,U$S 225.000,XE7538,Magdalena Del Mar,No aplica,112 m2,,3,1,,,Departamento,Excelente estado,3,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-proyecto-dptos-02-y-3-dorm-surco-entrega-15-de-agosto-2025/191724025,U$S 133.000,T3722A,Santiago De Surco,No aplica,75 m2,,2,1,,,Departamento,A estrenar,2,,2025,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-todo-2do-piso-urb-villa-jardin-san-luis/191860539,U$S 155.000,C3AC0B,San Luis,No aplica,128 m2,,3,1,,,Departamento,Excelente estado,2,,2000,1,No aplica,,
https://www.infocasas.com.pe/vendo-triplex-342m2-2-estac-en-urb-valle-hermoso-santiago-de-surco/191842180,U$S 440.000,H62DCF,Santiago De Surco,No aplica,342 m2,,3,3,,,Departamento,Excelente estado,3,,2019,2,No aplica,,
https://www.infocasas.com.pe/vendo-moderno-departamento-semiestreno-impecable-miraflores-la-mar/191721875,U$S 178.000,QEBCFC,Miraflores,No aplica,72 m2,,2,1,,,Departamento,Excelente estado,2,,2022,1,No aplica,,
https://www.infocasas.com.pe/vendo-amplio-departamento-chacarilla-san-borja/192356274,U$S 235.000,ZE3EB6,San Borja,Interior,131 m2,,4,1,,,Departamento,Requiere mantenimiento,2,24 m2,1988,1,No aplica,,
